title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
Điện Thoại Samsung Galaxy A12 (4GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,3650000,Yes,No,39,8737462044335,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p74935377.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/b6/ac/58/a781e8737a2409136f50428085437da7.jpg,No,,Yes,No,15
Điện Thoại iPhone 12 128GB - Hàng Chính Hãng,21990000,Yes,Yes,260,1798087185398,https://tiki.vn/dien-thoai-iphone-12-128gb-hang-chinh-hang-p71198347.html?src=ss-organic,4.8,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,19
Điện Thoại iPhone XR 64GB - Hàng Chính Hãng VN/A,12290000,Yes,No,314,5477819566587,https://tiki.vn/dien-thoai-iphone-xr-64gb-hang-chinh-hang-p4538233.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/ed/59/90/dbb02d5332621df9b6632d846236e132.jpg,No,,Yes,No,47
Điện thoại Xiaomi Redmi Note 9S - Hàng Chính Hãng,4750000,No,No,No,3424737663784,https://tiki.vn/dien-thoai-xiaomi-redmi-note-9s-hang-chinh-hang-p51553387.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/c2/9d/c2/40e1f21bef91d798bfcfe9fa7a9be95a.jpg,No,,No,No,13
Điện Thoại Vsmart Active 3 - Hàng Chính Hãng,3089000,No,No,6,5180403403167,https://tiki.vn/dien-thoai-vsmart-active-3-hang-chinh-hang-p46753117.html?src=ss-organic,4.2,https://salt.tikicdn.com/cache/280x280/ts/product/25/1e/b7/6584848947954fac3ef811154bb850d6.jpg,No,,No,No,38
Điện Thoại iPhone 11 64GB  - Hàng Nhập Khẩu,15550000,No,Yes,60,9706255557276,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-nhap-khau-p34016501.html?src=ss-organic,4.7,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,,Yes,No,32
Điện Thoại Nokia 5.4 (4GB/128GB) - Hàng Chính Hãng,3490000,No,No,No,9470471251811,https://tiki.vn/dien-thoai-nokia-5-4-4gb-128gb-hang-chinh-hang-p75540783.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/28/86/95/1f6ea474624f8cdee6fe51179eed72cb.jpg,No,,No,No,30
Điện Thoại Oppo Reno 5 (8GB/128G) - Hàng Chính Hãng,7390000,Yes,No,20,5624191820930,https://tiki.vn/dien-thoai-oppo-reno-5-8gb-128g-hang-chinh-hang-p74489817.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/83/ca/55/7cf04cfb464a9385452ed6ef24e8e450.jpg,No,,Yes,No,18
Điện Thoại Vsmart Joy 3 - Hàng chính hãng,2090000,No,No,19,2774023213270,https://tiki.vn/dien-thoai-vsmart-joy-3-hang-chinh-hang-p48524359.html?src=ss-organic,3.9,https://salt.tikicdn.com/cache/280x280/ts/product/5a/7b/e1/5acd19c60380413b3e72ac3460da0f62.jpg,Yes,,No,No,9
Điện Thoại Vsmart Star 4 (2GB/16GB) - Hàng Chính Hãng,1799000,No,No,44,7624605765725,https://tiki.vn/dien-thoai-vsmart-star-4-2gb-16gb-hang-chinh-hang-p59043368.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/c4/bc/cc/4d9c6ddebc9904b929c1823a8d1889f9.jpg,No,,No,No,3
Điện Thoại Samsung Galaxy A11 (32GB/3GB) - Hàng Chính Hãng - (Đã kích hoạt bảo hành điện tử),2669000,Yes,Yes,6,9258229891966,https://tiki.vn/dien-thoai-samsung-galaxy-a11-32gb-3gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p54913203.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,No,No,28
Điện Thoại Samsung Galaxy Note 20 (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,15990000,Yes,Yes,45,6690336097450,https://tiki.vn/dien-thoai-samsung-galaxy-note-20-256gb-8gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p62263771.html?src=ss-organic,4.7,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,33
Điện thoại Xiaomi Redmi Note 9 Pro - Hàng Chính Hãng,5790000,No,No,No,2711362993685,https://tiki.vn/dien-thoai-xiaomi-redmi-note-9-pro-hang-chinh-hang-p55138557.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/43/86/13/31d0777f983647c58050a42c7c17073c.jpg,No,,No,No,17
Điện Thoại Nokia 150 (2020) -  Hàng Chính Hãng,605000,Yes,No,177,3135503316420,https://tiki.vn/dien-thoai-nokia-150-2020-hang-chinh-hang-p55665054.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/0e/a0/ba/326beb945cdc4e581af187ace71e6fe1.jpg,No,,No,No,8
Điện Thoại Oppo A91 (8GB/128G) - Hàng Chính Hãng,4690000,Yes,No,70,5945332993574,https://tiki.vn/dien-thoai-oppo-a91-8gb-128g-hang-chinh-hang-p73091235.html?src=ss-organic,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/55/0e/79/6b42a0a35fa6121a34b67934da4e2182.jpg,Yes,,Yes,No,33
Điện Thoại iPhone SE 256G ( 2020) - Hàng Nhập Khẩu,12200000,No,Yes,15,6139268385605,https://tiki.vn/dien-thoai-iphone-se-256g-2020-hang-nhap-khau-p53515396.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,30
iPad 10.2 Inch WiFi/Cellular 32GB New 2019 - Hàng Nhập Khẩu Chính Hãng,9990000,Yes,No,31,5837921811843,https://tiki.vn/ipad-10-2-inch-wifi-cellular-32gb-new-2019-hang-nhap-khau-chinh-hang-p32648364.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/da/f3/46/519f0f7afd64645cc9b3b1011a803d36.JPG,Yes,,Yes,No,17
Điện Thoại iPhone 12 Mini 128GB - Hàng Chính Hãng,19700000,No,Yes,2,7220544168629,https://tiki.vn/dien-thoai-iphone-12-mini-128gb-hang-chinh-hang-p71201344.html?src=ss-organic,0,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,18
Điện Thoại Xiaomi Redmi Note 10 Pro (6GB/128GB) - Hàng Chính Hãng,6390000,No,No,No,5985140265162,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-pro-6gb-128gb-hang-chinh-hang-p84716247.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/63/48/c5/53283c619eb9f3f47a1eb5e748f5f02d.jpg,No,,No,No,9
Điện Thoại iPhone 11 128GB  - Hàng Nhập Khẩu,16800000,No,Yes,34,2692455386181,https://tiki.vn/dien-thoai-iphone-11-128gb-hang-nhap-khau-p33996665.html?src=ss-organic,4.8,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,,Yes,No,33
Điện Thoại OPPO RENO 3 Pro (8GB/256GB) - Hàng Chính Hãng,6990000,Yes,No,30,5450410602052,https://tiki.vn/dien-thoai-oppo-reno-3-pro-8gb-256gb-hang-chinh-hang-p54028954.html?src=ss-organic,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/34/b8/e7/0377d91e4e30c48bdd1577ba128ca3be.jpg,Yes,,Yes,No,53
